Index,Titol,Valoracio,Data_critica,Gènere,Director,Interprets,Guio,Pais,Durada,Edat_recomanada,Distribuidora,Data_estrena
1,El secreto: atrévete a soñar,5,23-10-2020,"Drama, Romance",Andy Tennant,"Josh Lucas, Katie Holmes","Bekah Brunstetter, Rick Parks",Estados Unidos,107 min. ,,Vértigo Films ,23 de Octubre de 2020
2,Más allá de la Luna,7,23-10-2020,"Animación, Fantasía",,,Audrey Wells,Estados Unidos,95 min. ,,Netflix,23 de Octubre de 2020
3,Regreso a Hope Gap,7,23-10-2020,Drama,,"Aiysha Hart, Annette Bening, Bill Nighy, Josh O'Connor, Nicholas Burns",William Nicholson,Reino Unido,100 min. ,,A Contracorriente,23 de Octubre de 2020
4,El club de los divorciados,6,23-10-2020,Comedia,,"Arnaud Ducret, Audrey Fleurot, Caroline Anglade, François-Xavier Demaison",David Gilcreast,Francia,,,Festival Films,23 de Octubre de 2020
5,Una vez más,7,23-10-2020,"Drama, Romance",Guillermo Rojas,"Celia Vioque, Jacinto Bobo, Julia Rodríguez, Silvia Acosta, Teresa Arbolí",,España,,,,23 de Octubre de 2020
6,Promare,8,23-10-2020,"Acción, Ciencia-ficción",Hiroyuki Imaishi,,,Japón,111 min.,,Selecta Visión,23 de Octubre de 2020
7,Borat: Subsequent Moviefilm,8,23-10-2020,"Comedia, Sátira",Jason Woliner,"Ken Davitian, Maria Bakalova, Mike Pence, Rudy Giuliani, Sacha Baron Cohen","Anthony Hines, Dan Mazer, Dan Swimer, Erica Rivinoja, Jena Friedman, Lee Kern, Peter Baynham, Sacha Baron Cohen",Estados Unidos,95 min.,,Amazon Prime Video,23 de Octubre de 2020
8,On the Rocks,8,23-10-2020,"Comedia, Drama, Romance",Sofia Coppola,Bill Murray,Sofia Coppola,Estados Unidos,95 min. ,,Apple TV+,23 de Octubre de 2020
9,La voz humana,8,21-10-2020,Drama,Pedro Almodóvar,Tilda Swinton,Pedro Almodóvar,España,30 min.,,Avalon,21 de Octubre de 2020
10,Rebeca,5,19-10-2020,"Drama, Romance, Suspense",Ben Wheatley,"Armie Hammer, Ben Crompton, Keeley Hawes, Kristin Scott Thomas, Lily James","Anna Waterhouse, Jane Goldman, Joe Shrapnel",Reino Unido,,,Netflix,19 de Octubre de 2020
